,tweet
57,"Hello, we are sorry to hear this occurred. Please contact Transit Police at 617-222-1212 for further assistance."
58,Hello and thanks for letting us know. We have alerted Bus Supervisors to look into this.
59,"Hello David. Bikes are not allowed on SL1, SL2 or SL3, but they are on the SL4 & SL5. You must use the bike rack on the front of the bus. They can not be taken on the bus."
60,Mattapan Trolley Update: Regularly scheduled service has resumed.
61,Mattapan Trolley: Delays of up to 10 minutes due to an earlier disabled trolley at Ashmont.
62,"In coordination with @MassDPH, we encourage riders &amp; employees to: Wash hands often Avoid touching your eyes, nose, mouth Clean things that are frequently touched Cover your mouth if you sneeze/cough Stay home if sick Think ahead Tips &amp; info: http://mass.gov/COVID19"
63, All riders and employees are required to wear a face covering while on the T. We continue to: -Disinfect high-contact areas in stations -Disinfect vehicles daily + sanitize touch-points midday -Board buses &amp; trolleys via rear doors -Promote social distancing -Open station doors
64,"Current Status for Essential Trips http://mbta.com/coronavirus Subway: Reduced service, Green Line busing Lechmere-North Station Bus: Saturday schedule, some routes addtl trips @MBTA_CR: Reduced service Ferry: No service TheRIDE: Service available CharlieCard Store closed"
65,"Good Morning, that is correct. This is a full closure from June 6 - 14 for significant infrastructure improvements."
66,Green Line Reminder: Shuttle buses replace D branch service between Riverside and Kenmore from June 6 - June 14 to allow for accelerated track work. More: http://MBTA.com/GLDwork
67,"Orange Line Reminder: Starting at 8:45 PM on Friday through Sunday, southbound trains will bypass North Station to allow for station maintenance work. Customers can exit at Haymarket and use the Green Line or Orange Line for service to North Station. More: http://MBTA.com/OLwork"
68,"Good Morning Charles. Yes, regular service has resumed."
69,"Hello Kyle. Yes, there is service to Park Street this morning."
70,No stops are being skipped today.
71,"Hello. Yes, subway service is running this morning."
72,Hello. We are operating today using the same reduced schedule that has been in place.
73,Orange Line: All trains are bypassing Back Bay through the end of service tonight.
74,Green Line: All trains are bypassing Prudential through the end of service tonight due to a demonstration.
75,Update: Current MBTA service adjustments will remain in effect through the end of service tonight. End of service connections will be impacted.
76,Green Line: All trains are bypassing Arlington and Boylston until further notice due to a demonstration.
77,Blue Line Shuttle: All buses have been suspended until further notice due to a demonstration.
78,Orange Line: State Street is being bypassed until further notice due to a demonstration.
79,"Good evening, we apologize for the inconvenience, train service has been suspended until further notice at Charles/MGH."
80,"Orange Line, Red Line: All trains are bypassing Charles/MGH and Tufts Medical Center until further notice due to a demonstration."
81,"Blue Line, Green Line, Orange Line: All trains are bypassing Government Center, Haymarket and Chinatown until further notice due to a demonstration."
82,"Green Line, Orange Line, Red Line: All trains are bypassing Park Street and Downtown Crossing until further notice due to a demonstration in the downtown area."
83,Thank you for the additional information Emilia. We will have Bus Supervisors look into this.
84,"Hi Emilia, we apologize about this. Can you tell us the stop location and direction of your trip?"
85,"Hello and thanks for letting us know. Can you give us the route and bus number, along with the approximate time and stop location this occurred at?"
86,Orange Line Update: Regularly scheduled service has resumed.
87,Orange Line Update: Delays of up to 10 minutes due to a signal problem at Ruggles. Signal personnel are on scene making repairs.
88,Orange Line experiencing delays of up to 10 minutes due to a signal problem at Ruggles.
89,"Good afternoon, Tony. Thanks for letting us know about this. We will send this message to Orange Line supervisors so they can check it out."
90,Update: Bus Routes 86 & 91 have returned to the regular routing on Washington Street. Visit http://mbta.com/alerts for details.
91,Thank you for this specific information. We hope you have a nice day!
92,Mattapan Trolley Update: Regular service is proceeding.
93,"Hello - thanks for reporting this to us. Is it on the staircase that goes to the platform or a staircase to an exit, and if so, which exit? We'll send our cleaning crews to remove it. Thank you."
94,Mattapan Trolley delayed about 15 minutes because of a trolley with a mechanical issue near Cedar Grove outbound.
95,Good evening - thanks for letting us know about this. We will forward your tweet to bus maintenance so they can look into it.
96,"Hi Pamela - thanks for doing your part by taking the MBTA for essential trips only, wearing a mask, and keeping distance. We're sorry that this happened on your trip today. Can you please send us some more details in a DM? Thank you."
97,"Good afternoon, and thanks for letting us know. Can you tell us what station you saw this at?"
98,Orange Line Update: Regularly scheduled service has resumed.
99,Red Line Update: Regularly scheduled service has resumed.
100,Red Line Update: Regular service is proceeding with residual delays.
101,Red Line experiencing delays of up to 15 minutes due to a passenger in need of medical attention at Central. EMS and TPD are on scene.
102,Orange Line Update: Delays of up to 10 minutes due to a signal problem at Ruggles. Signal personnel are on scene making repairs.
103,Orange Line experiencing delays of up to 15 minutes due to a signal problem at Ruggles.
104,"Good afternoon, thanks for reaching out. We are running regular weekend service, with no planned service interruptions in this area. More info: https://www.mbta.com/covid19"
105,"Once complete, the new Washington St bus lane will save 24,000 weekday riders up to 12 minutes on a trip from Nubian Square into downtown. We're proud to partner with @BostonBTD, @CityOfBoston, &amp; Mayor @marty_walsh to further prioritize bus service in Boston. #BuildingABetterT"
106,"You're welcome, have a good day!"
107," Bus Routes 86 &amp; 91 will return to their regular routing on Washington Street with the start of service on Monday, June 1. Visit http://mbta.com/alerts for details."
108,"Normally, you'd need your sea legs for our next stop via the Charlestown Ferry (or a bus) to visit the @USSConstitution. Now #StaySafeAtHome with Distance Learning Resources online - daily live tours, A Sailor's Life for Me! game, &amp; ""Old Ironsides"" activities. #VirtualVisit https://twitter.com/USSConstMuseum/status/1260928804534484992"
109,Hello - we're sorry to hear about this. We have sent this tweet to bus supervisors so they can look into it.
110,"Good evening. Governor Baker's order for face coverings on public transit has an exemption for certain medical conditions. Our operators cannot ask anyone about the nature of their conditions, so we will not refuse service to any person not wearing a face covering."
111,Good evening. There has been no reported incident involving an MBTA vehicle on the C branch.
112,Orange Line Update: Regular service is proceeding.
113,"With reduced ridership, we‰Ûªre moving forward with more full-access diversions to accelerate infrastructure work. On the Green Line D Branch (Riverside-Kenmore), we will be shuttling during two 9-day closures: June 6-14 & June 20-28. http://ow.ly/RIMx50zU4dk #BuildingABetterT"
114,Orange Line delayed about 10 minutes because of a train with a mechanical problem at Community College northbound. Personnel are on scene working to overcome the problem.
115,"This week, GM @spoftak visited the Blue Line to highlight all that can be accomplished with a full-access diversion, as well as discuss the MBTA's ongoing cleaning and disinfecting efforts. Learn about this &amp; upcoming accelerations in this GM update. #BuildingABetterT #RideSafer"
116,"The #GreenLineExtension will reopen 2 Somerville bridges in the coming weeks - Washington St Bridge/Underpass on May 31 &amp; Broadway Bridge in the first week of June. We're thankful to our riders, teams, &amp; communities for making this milestone possible. http://ow.ly/nQAc50zSUBR"
117,Green Line Update: Regularly scheduled service has resumed.
118,Green Line: Delays of up to 10 minutes due to wire maintenance at Arlington.
119,Blue Line Update: Regularly scheduled service has resumed.
120,Blue Line Update: Residual delays of up to 10 minutes due to earlier maintenance work.
121,Orange Line Update: Regularly scheduled service has resumed.
122,Orange Line: Delays of up to 10 minutes due to a train with a mechanical problem at Jackson Square.
123,Blue Line: Delays of up to 15 minutes due to a maintenance train performing inspections on the overhead wires.
124,Good Morning David and thanks for reaching out. We will pass this on to Orange Line Supervisors to address.
125,Orange Line Update: Regularly scheduled service has resumed.
126,Orange Line: Delays of up to 10 minutes northbound due to a train with an earlier mechanical problem at Forest Hills.
127,Good Morning Cam and thanks. Have a great day as well!
128,Hi Christine - thanks for taking the time to share this with us! We'll send your tweet to Blue Line supervisors so they can share it with her. We hope you have a wonderful evening!
129,"Good evening. Governor Baker's order for face coverings on public transit has an exemption for certain medical conditions. Our operators cannot ask anyone about the nature of their conditions, so we will not refuse service to any person not wearing a face covering."
130,"Hi Jay - thanks for reaching out to us. When weather permits, we will run buses with open windows. To prevent the spread of the virus, all MBTA fleet vehicles (buses, trolleys, subway cars, Commuter Rail coaches, ferries, and RIDE vehicles) are being disinfected on a daily basis."
131,Green Line B Branch Update: Trains are returning to regularly scheduled service.
132,You're welcome. We have adjusted service levels to prioritize essential travel for healthcare and emergency workers and are monitoring ridership to ensure there is enough space so riders taking essential trips can socially distance. More information here: http://www.mbta.com/ridesafer
133,Thank you - we will let maintenance know so they can fix it.
134,Hello Damian - are you referring to an MBTA bus stop sign for Route 8?
135,"Good afternoon. Governor Baker's order for face coverings on public transit has an exemption for certain medical conditions. Our operators cannot ask anyone about the nature of their conditions, so we will not refuse service to any person not wearing a face covering."
136,Green Line B trains delayed about 15 minutes eastbound because of a train with a mechanical issue at Chestnut Hill Avenue. Personnel is responding to assist.
137,Thanks for the additional information. We will send it to supervisors so they can look into it.
138,"Hi Theresa - we're sorry to hear about this. Can you please give us some more information about what happened, such as the when and where this occurred? Thank you."
139,Orange Line Update: Regularly scheduled service has resumed.
140,Orange Line Update: Residual delays of about 10 minutes after an earlier train was removed from service.
141,We're proud to have bus operator Jeffrey Williams spotlighted for his dedication & kindness in this #RevereHeroes profile from @Revere311. We commend &amp; thank all our front-line workers who continue to serve our riders &amp; the communities they call home. https://www.facebook.com/CityofRevere/photos/a.262008713893968/3028962167198595/?type=3
142,Orange Line delayed about 20 minutes because of a train with a mechanical problem at Jackson Square northbound. The train is being removed from service.
143,"Hello Darrell - thanks for reaching out to us. All MBTA fleet vehicles (buses, trolleys, subway cars, Commuter Rail coaches, ferries, and RIDE vehicles) are being disinfected on a daily basis."
144,"Hi Karen - can you see a car number (01---), or can you please let us know your location and direction of travel? We are monitoring ridership and service levels and will pass this information along to supervisors."
145,"Hello - we're sorry to hear about this. We're monitoring service and ridership levels. Can you see a bus number, or can you please let us know your location and direction of travel? Thank you."
146,"Hello. Governor Baker's order for face coverings on public transit has an exemption for certain medical conditions. Our operators cannot ask anyone about the nature of their conditions, so we will not refuse service to any person not wearing a face covering."
147,Thanks for this. Red Line Supervisors are having the signs checked and will notify Station Maintenance.
148,Good Morning. We do not have a timetable in place to eliminate rear door boarding for buses and trolleys.
149,Green Line C Branch Update: Regularly scheduled service has resumed.
150,Orange Line Update: Regularly scheduled service has resumed.
151,Green Line C Branch Update: Delays of up to 10 minutes eastbound due to a train with an earlier mechanical problem.
152,Green Line C Branch Update: Delays of up to 20 minutes eastbound due to a train with an earlier mechanical problem at Coolidge Corner. The train has been taken out of service.
153,Orange Line Update: Delays of up to 15 minutes southbound due to earlier police activity.
154,Orange Line: Delays of up to 15 minutes southbound due to police activity at Downtown Crossing.
155,Green Line C Branch Update: Delays of up to 20 minutes eastbound due to a train with a mechanical problem at Coolidge Corner.
156,Green Line C Branch: Delays of up to 15 minutes eastbound due to a train with a mechanical problem at Coolidge Corner.
157,Red Line Ashmont Branch Update: Regularly scheduled service has resumed.
158,At this point we see regular bus service resuming at phase 3.
159,Thanks for the additional information. We will pass it on.
160,When the state enters phase 2 we will add additional service for high demand bus routes as staffing permits. At this point we see regular bus service resuming at phase 3. You can see Governor Baker's plan for a phased reopening of the state here: https://www.mass.gov/doc/reopening-massachusetts-may-18-2020/download
161,Good Morning Can you tell us the station you're waiting at?
162,"Good Morning Kyle. As the state reopening plan enters phase two we will see regular service operating on the Blue Line and additional service on the Red, Orange and Green Lines. Full Red Line service is currently scheduled to begin with phase 3."
163,Red Line Ashmont Branch: Delays of up to 10 minutes northbound due to a train with an earlier door problem at Savin Hill.
164,"ICYMI: Thanks to rider input, FMCB approved key fare tariff changes: No cost difference between CharlieCards &amp; CharlieTickets + cash fares Free bus, subway transfers from Zone 1A Fairmount Line stops Half-price Zone 1A @MBTA_CR fares for Youth Pass http://ow.ly/jbc450zMYNw"
165,Good Morning. Can you give us the number of the Red Line car you're on?
166,Good Morning. We have passed this on to Red Line Supervisors to address.
167,"Good Morning Chris. We are evaluating service levels on an ongoing basis and make adjustments based on ridership. As the state heads into phase two, service will increase with a focus placed on social distancing. We will pass this on to Red Line Supervisors. Where did you board?"
168,Hello Michael and thanks for reaching out. We have passed this on to Orange Line Supervisors to look into.
169,Green Line B Branch: Regularly scheduled service has resumed.
170,Green Line B branch update: Regular trolley service is resuming with residual delays.
171,Green Line B branch: Westbound service suspended between Packards Corner and Blandford street because of an auto on the tracks. Please use the Route 57 bus for alternative service.
172,"Hi Kendall, thanks for reaching out. Blue line train service will resume on June 1st."
173,"Hello, we have responded to your direct message."
174,"Hello, we are sorry to hear this occurred. Can you direct message us more information on this incident?"
175,"Today, @MassGovernor, Sec @Steph_Pollack, @SpeakerDeLeo, &amp; GM @spoftak stopped by Maverick Station to spotlight work on the Blue Line. With shuttles accommodating riders, we can make significant investments in core infrastructure as part of our $8B commitment to #BuildingABetterT https://twitter.com/MassGovernor/status/1265739078177370112"
176,"Hello and thanks for reaching out. Depending on public health data trends, we will begin to gradually increase service levels during Phase 2. We recommend checking out our website for the most up to date information: https://www.mbta.com/covid19"
177,"Hi Julia. We are requiring riders and employees to wear face coverings, cleaning/sanitizing our stations and vehicles on a daily basis, along with monitoring and adjusting service levels to promote social distancing. You can learn more here: https://www.mbta.com/covid19/faq"
178,"Hi Joe, thanks for letting us know. We will alert Bus supervisors to look into this. We are evaluating service levels on an ongoing basis and will make adjustments based on ridership."
179,"Hello. Riders are required to wear face coverings while on public transit per the emergency order. The order has an exemption for people with certain medical conditions, but does not require a person disclose their condition. Our staff is operating in accordance with the order."
180,"Hi Joe, thanks for reaching out. We do see a bus on its way to Maverick. Can you tell us what stop you are waiting at?"
181,"MBTA staff cannot ask anyone about the nature of their medical conditions, so we will not refuse service to any person not wearing a face covering. You can read about steps we are taking for rider and operator safety here: https://www.mbta.com/covid19/faq"
182,"Hello. Riders are required to wear face coverings while on public transit per the emergency order. The order has an exemption for people with certain medical conditions, but does not require a person disclose their condition. Our staff is operating in accordance with the order."
183,"We are evaluating service levels on an ongoing basis and make adjustments based on ridership. As the state heads into phase two, service levels will increase with a focus placed on social distancing."
184,"Yes, maintenance vehicles perform checks on the Blue and Green Line catenary on a daily basis. There are times where an adjustment or quick repair can be done while service is operating. Work that may take a little longer can be scheduled for after service."
185,Blue Line Update: Regularly scheduled service has resumed.
186,"Hello Maryann, the CharlieCard store is still closed. Please contact Customer Support at 617-222-3200. They can assist you with some transactions that can be done at the store."
187,Blue Line: Delays of up to 10 minutes due to a maintenance train performing inspections on the overhead wires.
188,Hello Tori and thanks for reaching out. We will pass this on to Bus Supervisors to address.
189,"Good Morning. This was on Route 222 inbound, correct?"
190,"This week, we wrap up the Blue Line‰Ûªs 14-day diversion. With full access, we can address core maintenance for better, faster trips now & lay the groundwork for future updates. Here‰Ûªs a look at work carried out so far. #BuildingABetterT http://mbta.com/BlueLineWork"
191,"Good Morning Roberta. Any @MBTA_CR ticket that was valid on March 10, 2020, will be valid for up to 90 days after the end of the state of emergency. You can read more about fares here: https://www.mbta.com/covid19/fares-faq"
192,Hello and thanks for reaching out. We have five additional buses operating on Route 111 this morning. We will pass this on to Bus Supervisors to look into.
193,Good Morning and thanks for reaching out. The current face covering announcement is scheduled to play every 15 minutes and is running systemwide.
194,"Good evening, thanks for reaching out. We are cleaning our vehicles and stations on a daily basis, and requiring employees and riders to wear face coverings while on the T. You can learn more here: http://mbta.com/ridesafer"
195,"You're welcome, have a good night!"
196,Green Line E Branch Update: Regularly scheduled service has resumed.
197,"Good evening, thanks for reaching out. Monday through Saturday, the first shuttle bus will leave Lechmere at 5:00 AM. On Sundays, the first bus will leave at 5:35 AM."
198,Green Line E branch experiencing delays of up to 15 minutes due to a train with a mechanical problem near Brigham Circle. Passengers can utilize the Route 39 bus for alternative service.
199,"Hello and we are sorry to hear this occurred. Can you direct message us more information on this incident? If you are in need of immediate assistance, please contact transit police at 617-222-1212."
200,Red Line Update: Regularly scheduled service has resumed.
201,Red Line Update: Residual delays of up to 10 minutes due to an earlier signal problem at Quincy Adams.
202,Green Line D Branch Update: Regularly scheduled service has resumed.
203,Hello and thanks for reaching out. Please contact our customer service team at 617-222-3200 or via the link below for further assistance: https://www.mbta.com/customer-support
204,Red Line experiencing delays of up to 10 minutes due to a signal problem at Quincy Adams.
205,Green Line D Branch Update: Trolley service is resuming with residual delays and shuttle buses are being phased out.
206,Thanks for the additional information. We will pass this on to Bus Supervisors to look into.
207,Green Line D Branch: Shuttle buses replacing service between Newton Highlands and Riverside due to a problem with the overhead wires. Please expect delays as shuttles are dispatched.
208,Hello Michael and thanks for reaching out. Can you tell us where on Mass Ave you saw this?
209,"In coordination with @MassDPH, we encourage riders &amp; employees to: Wash hands often Avoid touching your eyes, nose, mouth Clean things that are frequently touched Cover your mouth if you sneeze/cough Stay home if sick Think ahead Tips &amp; info: http://mass.gov/COVID19"
210, All riders and employees are required to wear a face covering while on the T. We continue to: -Disinfect high-contact areas in stations -Disinfect vehicles daily + sanitize touch-points midday -Board buses &amp; trolleys via rear doors -Promote social distancing -Open station doors
211,"Current Status for Essential Trips Only: http://mbta.com/coronavirus Subway: Reduced service, Blue Line &amp; Green Line busing Bus: Saturday schedule, some routes addtl service @MBTA_CR: Reduced service Ferry: No service The RIDE: Service available CharlieCard Store closed"
212,Thanks for the additional information. We will pass this on to Red Line Supervisors to investigate.
213,Hello and thanks for reaching out. Did the doors not open at Quincy Adams?
214,Good Morning and thanks for reaching out. We have passed this on to Orange Line Supervisors to address.
215,Thanks for this. We will pass it on to Blue Line Supervisors to look into.
216,Thanks for the additional info. Can you tell us where you boarded the Blue Line shuttle and when?
217,Hello Kristin. Can you tell us more about your commute this morning?
218,"To help riders during the Blue Line diversion and promote social distancing, @MBTA_CR is accepting Zone 1A CharlieCards and CharlieTickets for travel between Lynn and North Station through May 31. Learn more: http://ow.ly/R5lM50zMPRb #BuildingABetterT"
219,Thank you for the additional information.
220,"Hello, and thanks for reporting this. Can you tell us when and where you took this picture?"
221,"Hi Jon, thanks for reaching out. How can we help you?"
222,Green Line D Branch Update: Regularly scheduled service has resumed.
223,Green Line D Branch Update: Delays of up to 10 minutes while the Power Department make repairs to the overhead wires near Chestnut hill.
224,Green Line D branch experiencing delays of up to 15 minutes due to an overhead wire problem near Chestnut Hill.
225,Hello and thanks for reaching out. Can you give us the bus number?
226,Red Line Update: Regularly scheduled service has resumed.
227,Red Line Update: Residual delays of up to 10 minutes due to a train with an earlier door problem. The train has been taken out of service.
228,Red Line experiencing southbound delays of up to 15 minutes due to a train with a door problem at Park Street.
229,Thank you for the additional information Joe. We have alerted station officials and our track department to look into this.
230,"Hi Joe - thanks for letting us know about this. Where is this on the outbound platform? Near the front, middle, or rear of the train?"
231,"Hi there - thanks for asking. For more information, including pictures, of the Green Line Extension project please visit this link: https://www.mbta.com/projects/green-line-extension-glx"
232,You're welcome - have a nice day!
233,"Hello - thanks for reaching out. Routes 69, 80, 87, and 88 will continue to use the Lechmere busway. At Lechmere, the shuttle bus to North Station boards in the busway next to Cambridge Street. If there are changes, they will be posted here, on our website, and via T-alerts."
234,You're welcome.
235,Thank you - we will send this information to bus supervisors.
236,Good morning - can you see a bus number? Or can you let us know where and when you boarded the bus and your destination? Thank you.
237,"Hello, Jackie. We're sorry to hear about this. Can you please let us know the bus stop you are waiting at, the route you are waiting for, and your direction of travel? Thank you."
238,Thanks for following up with us. We hope you have a nice day!
239,"Good morning, Hans. We continue to clean our trains and buses on a daily basis. Are you on a train that needs rubbish removed? Can you see a vehicle number? We will send this information to cleaners so they can address it."
240,Green Line Reminder: Shuttle buses replace E Branch service between North Station and Lechmere through the Spring of 2021 for work on the Green Line Extension. More: http://MBTA.com/GLEwork
241,Blue Line Reminder: Shuttle buses replace train service between Bowdoin and Airport through May 31 for accelerated track work. More: http://mbta.com/BLwork
242,"Good morning, Brian - we are sorry to hear about your wait this morning. We will send it to bus supervisors so they can look into it. We do see that a 73 bus is preparing to start a trip from Harvard."
243,"Good morning, Kathryn. Can you please let us know where in Roslindale you saw this map so we can make sure it is replaced? Thank you."
244," Today, May 25, MBTA and @MBTA_CR services are running on a Sunday schedule - no ferry service - for #MemorialDay. For more info on this and future holiday schedules, visit http://mbta.com/holidays"
245,"Good morning, Theresa. MBTA services are running on a Sunday schedule because of today's holiday. We're sorry for the delay in your trip this morning."
246,Good afternoon - thanks for letting us know about this. We will send your message to bus supervisors so they can look into it.
247,Hi Patrick. The new station will open in the Spring of 2021. You can learn more about this project here: https://www.mbta.com/projects/lechmere-viaduct-rehabilitation
248,"You're welcome, have a good day!"
249,"Hi Maryann, thanks for reaching out. Currently the Charlie Card store is closed until further notice. We recommend reaching out to our customer service team at 617-222-3200 for further assistance."
250," On Monday, May 25, MBTA and @MBTA_CR services will run on a Sunday schedule - no ferry service - for #MemorialDay. For more info on this and future holiday schedules, visit http://mbta.com/holidays"
251,Good morning and thanks for reaching out. Yes shuttle buses will be provided tomorrow between Bowdoin and Airport to allow for accelerated track work on the Blue line. More: http://mbta.com/BLwork
252,"Need directions, have a question? Ask a Transit Ambassador or T personnel. We'll happily assist along with wayfinding signs during Blue Line & Green Line diversions. Be sure to: Wear a face cover Keep a safe distance Plan ahead: http://mbta.com/alerts #BuildingABetterT"
253,Green Line Reminder: Shuttle buses replace E Branch service between North Station and Lechmere through the Spring of 2021 for work on the Green Line Extension. More: http://MBTA.com/GLEwork
254,"Good evening - thanks for reaching out. The shuttle buses will run at a similar frequency as E branch streetcars. For the most up-to-date schedule information, please visit this link: https://www.mbta.com/covid19#service"
255,Hello Peter - thanks for reporting this to us. Did you witness this on the Orange Line or a bus?
256,Green Line D Branch Update: Trains are returning to regularly scheduled service.
257,Thanks for following up with us. We forwarded it to RIDE personnel so they can look into it.
258,Green Line D trains delayed about 15 minutes because of an unauthorized person in the track area near Waban. Personnel are responding.
259,Hello Chris - thanks for reporting this to us. Did you take this picture at the time of your tweet? We will forward it to RIDE managers.
260,"Good afternoon, thanks for reaching out. We will be limiting capacity and closely monitoring ridership on the shuttle buses, along with having additional buses on stand by to promote social distancing efforts, and protect the health and safety of our customers and employees."
261,Thanks for reporting this Chris. We will alert our maintenance team to have this sign fixed. Have a good day!
262,"Hi Shannon, we are sorry to hear this occurred. We have alerted our partners @MBTA_CR who will look into this."
263,"With the full-access Blue Line diversion, we will complete work 2+ months sooner than previously planned. Tracks, fare gates, fire systems, & tunnel infrastructure renovated in 14 days for better, safer, & more reliable service sooner. http://mbta.com/BLwork #BuildingABetterT"
264,Red Line Update: Regularly scheduled service has resumed.
265,Red Line Update: Regular train service is resuming with residual delays.
266,"Thank you for the update, have a great rest of your day!"
267,"you're welcome, have a good day!"
268,"Hello, and thanks for reaching out. Can you tell us what stop you are waiting at?"
269,"Like other iconic spots, this one has its own stop. @mfaboston is on the Green Line with Orange Line, buses, &amp; @MBTA_CR nearby. For now you can enjoy art &amp; music virtually with #MuseumFromHome's artist studio visits, gallery tours, online classes, &amp; kid playdates. #VirtualVisit https://twitter.com/mfaboston/status/1261038582833262594"
270,"Green Line Reminder: Starting tomorrow, shuttle buses replace train service between North Station and Lechmere through the Spring of 2021 for work on the Green Line Extension. More: http://MBTA.com/GLEwork"
